epoch,iteration,model_best_val_score,model_loss,model_val_score,step,train_dataset_size,val_dataset_size
0.0,0.0,0.14751754701137543,-1.9072325006127357,0.14751754701137543,1,4000.0,1000.0
1.0,0.0,0.014753344468772411,-8.872964061796665,0.014753344468772411,2,4000.0,1000.0
2.0,0.0,0.0041825855150818825,-20.71472990512848,0.0041825855150818825,3,4000.0,1000.0
3.0,0.0,0.0012728811707347631,-30.71599566936493,0.0012728811707347631,4,4000.0,1000.0
4.0,0.0,0.0006062861648388207,-36.462833642959595,0.0006062861648388207,5,4000.0,1000.0
5.0,0.0,0.0003377142420504242,-41.54107999801636,0.0003940226451959461,6,4000.0,1000.0
6.0,0.0,0.00024559549638070166,-43.4685115814209,0.0005367188132368028,7,4000.0,1000.0
7.0,0.0,0.00020707839576061815,-46.23244285583496,0.00029059333610348403,8,4000.0,1000.0
8.0,0.0,8.944876753957942e-05,-47.77064061164856,0.00012311377213336527,9,4000.0,1000.0
9.0,0.0,6.57747223158367e-05,-43.00242269039154,0.0007575449417345226,10,4000.0,1000.0
10.0,0.0,5.234827767708339e-05,-44.188647508621216,0.00036626544897444546,11,4000.0,1000.0
11.0,0.0,4.238825204083696e-05,-48.36190724372864,0.0002392879978287965,12,4000.0,1000.0
12.0,0.0,3.098774323007092e-05,-44.503921031951904,0.00024396300432272255,13,4000.0,1000.0
13.0,0.0,2.276381928822957e-05,-50.60085725784302,0.00010898141044890508,14,4000.0,1000.0
14.0,0.0,1.5654266462661326e-05,-52.37684488296509,6.1509977967944e-05,15,4000.0,1000.0
15.0,0.0,1.0507339538889937e-05,-52.390249729156494,8.152060036081821e-05,16,4000.0,1000.0
16.0,0.0,8.805405741441064e-06,-51.72560358047485,7.34098139218986e-05,17,4000.0,1000.0
17.0,0.0,8.55553116707597e-06,-57.11470055580139,6.677113560726866e-05,18,4000.0,1000.0
18.0,0.0,7.995694431883749e-06,-57.182318687438965,7.447619282174855e-05,19,4000.0,1000.0
19.0,0.0,7.487722541554831e-06,-60.05214786529541,3.022651799255982e-05,20,4000.0,1000.0
20.0,0.0,7.103824373189127e-06,-60.27280020713806,5.979061097605154e-05,21,4000.0,1000.0
21.0,0.0,7.103824373189127e-06,-55.168118715286255,3.787586683756672e-05,22,4000.0,1000.0
22.0,0.0,5.789024271507515e-06,-62.958150148391724,1.09119673652458e-05,23,4000.0,1000.0
23.0,0.0,3.128341177216498e-06,-62.412535190582275,7.496807666029781e-05,24,4000.0,1000.0
24.0,0.0,2.244127244921401e-06,-58.21222805976868,5.3002564527560025e-05,25,4000.0,1000.0
25.0,0.0,2.244127244921401e-06,-53.6102100610733,7.640199328307062e-05,26,4000.0,1000.0
26.0,0.0,2.051031060545938e-06,-61.919395208358765,2.792360828607343e-05,27,4000.0,1000.0
27.0,0.0,1.894219622045057e-06,-64.6316933631897,5.9570479606918525e-06,28,4000.0,1000.0
28.0,0.0,1.0918728321485105e-06,-66.03834009170532,1.2341965884843376e-06,29,4000.0,1000.0
29.0,0.0,9.293046332459198e-07,-67.02376127243042,3.7358524878072785e-06,30,4000.0,1000.0
30.0,0.0,8.382537544093793e-07,-55.44171857833862,9.981296898331493e-05,31,4000.0,1000.0
31.0,0.0,8.001622973097255e-07,-60.04766058921814,2.3967902961885557e-05,32,4000.0,1000.0
32.0,0.0,7.796322165631864e-07,-65.89117479324341,5.6791786846588366e-06,33,4000.0,1000.0
33.0,0.0,7.572778599751473e-07,-67.33672618865967,1.3771616522717522e-06,34,4000.0,1000.0
34.0,0.0,6.184317271618056e-07,-67.04331588745117,9.135840628005099e-06,35,4000.0,1000.0
35.0,0.0,5.449630293696828e-07,-61.97151851654053,1.4370596545631997e-05,36,4000.0,1000.0
36.0,0.0,5.044774979978683e-07,-67.34238767623901,3.5995478810946224e-06,37,4000.0,1000.0
