epoch,iteration,model_best_val_score,model_loss,model_val_score,step,train_dataset_size,val_dataset_size
0.0,0.0,0.13423775136470795,-1.9919413551688194,0.13423775136470795,1,4000.0,1000.0
1.0,0.0,0.023949218913912773,-8.437647014856339,0.023949218913912773,2,4000.0,1000.0
2.0,0.0,0.00519521301612258,-18.697774469852448,0.00519521301612258,3,4000.0,1000.0
3.0,0.0,0.0012787000741809607,-28.014406204223633,0.0014258821029216051,4,4000.0,1000.0
4.0,0.0,0.0007892625872045755,-35.81735646724701,0.0008844449184834957,5,4000.0,1000.0
5.0,0.0,0.00031513808062300086,-42.63661026954651,0.0004918336635455489,6,4000.0,1000.0
6.0,0.0,0.00023951716138981283,-45.22697639465332,0.0003721663961187005,7,4000.0,1000.0
7.0,0.0,0.00020326414960436523,-45.42256450653076,0.00041791918920353055,8,4000.0,1000.0
8.0,0.0,0.00015877600526437163,-44.32468128204346,0.00034628517460078,9,4000.0,1000.0
9.0,0.0,0.0001470266142860055,-45.991557598114014,0.00035177511745132506,10,4000.0,1000.0
10.0,0.0,6.160041084513068e-05,-48.91337847709656,8.75199621077627e-05,11,4000.0,1000.0
11.0,0.0,4.2093532101716846e-05,-49.57848811149597,0.00011449938028817996,12,4000.0,1000.0
12.0,0.0,3.950877726310864e-05,-47.02993845939636,0.00023949725436978042,13,4000.0,1000.0
13.0,0.0,2.7540227165445685e-05,-51.383323192596436,7.37143200240098e-05,14,4000.0,1000.0
14.0,0.0,1.9269686163170263e-05,-50.72198164463043,0.00014601295697502792,15,4000.0,1000.0
15.0,0.0,1.710084870865103e-05,-49.178325176239014,0.00021080470469314605,16,4000.0,1000.0
16.0,0.0,1.503026214777492e-05,-53.633081912994385,6.019910506438464e-05,17,4000.0,1000.0
17.0,0.0,1.2708628673863132e-05,-51.832887172698975,4.64502809336409e-05,18,4000.0,1000.0
18.0,0.0,8.35801984067075e-06,-58.25471353530884,1.553945548948832e-05,19,4000.0,1000.0
19.0,0.0,4.72647570859408e-06,-55.981722354888916,2.4110411686706357e-05,20,4000.0,1000.0
20.0,0.0,3.460066182014998e-06,-54.03826355934143,7.702722359681502e-05,21,4000.0,1000.0
21.0,0.0,3.460066182014998e-06,-57.029289960861206,7.409956742776558e-05,22,4000.0,1000.0
22.0,0.0,3.2034236028266605e-06,-58.24404287338257,2.135595968866255e-05,23,4000.0,1000.0
23.0,0.0,2.5842748527793447e-06,-62.996511936187744,3.0895382224116474e-05,24,4000.0,1000.0
24.0,0.0,2.194686658185674e-06,-60.8644757270813,0.00011369052663212642,25,4000.0,1000.0
25.0,0.0,1.93183109331585e-06,-60.57032012939453,5.5879998399177566e-05,26,4000.0,1000.0
26.0,0.0,1.605442434993165e-06,-64.13963508605957,1.0404700333310757e-05,27,4000.0,1000.0
27.0,0.0,1.3562242884290754e-06,-62.38989543914795,1.2321240319579374e-05,28,4000.0,1000.0
28.0,0.0,1.11349766029889e-06,-57.5179283618927,0.00014923859271220863,29,4000.0,1000.0
29.0,0.0,9.569024541633553e-07,-62.26632022857666,1.91408416867489e-05,30,4000.0,1000.0
30.0,0.0,9.171264423457615e-07,-62.28469157218933,1.4708978596900124e-05,31,4000.0,1000.0
31.0,0.0,8.366672545889742e-07,-65.93979454040527,2.2429312593885697e-06,32,4000.0,1000.0
32.0,0.0,7.473017262782378e-07,-62.931612491607666,6.707639840897173e-05,33,4000.0,1000.0
33.0,0.0,6.227585345186526e-07,-65.48730778694153,3.343776370456908e-06,34,4000.0,1000.0
34.0,0.0,5.918975034546747e-07,-67.61019086837769,1.9595047433540458e-06,35,4000.0,1000.0
35.0,0.0,5.734591468353756e-07,-66.18411827087402,9.252329618902877e-06,36,4000.0,1000.0
36.0,0.0,4.646066713576147e-07,-66.23270654678345,5.362941919884179e-06,37,4000.0,1000.0
37.0,0.0,4.4389884124029777e-07,-67.59485244750977,2.6353651264798827e-05,38,4000.0,1000.0
38.0,0.0,4.260050729953946e-07,-65.63950872421265,1.3331780792213976e-05,39,4000.0,1000.0
39.0,0.0,3.8534923874067317e-07,-66.75640869140625,6.476660200860351e-05,40,4000.0,1000.0
40.0,0.0,3.813771911609365e-07,-65.58357882499695,8.536544555681758e-06,41,4000.0,1000.0
41.0,0.0,3.813771911609365e-07,-67.32106161117554,4.866300514549948e-06,42,4000.0,1000.0
